metric,value,unit,confidence,source,source_url
Cell realisation (current),0.14,USD/Wp,medium,VQ Research,
Cell realisation (forecast),0.10,USD/Wp,medium,VQ Research,
Cell EBITDA/Wp,0.07,USD/Wp,medium,VQ Research,
DCR cell premium vs China (now),75,%,medium,VQ / PL Capital,
DCR cell premium vs China (FY28E),40,%,medium,VQ / PL Capital,
Cell capex intensity,600,Rs_cr/GW,medium,VQ Research,
Wafer+cell capex intensity,1200,Rs_cr/GW,medium,VQ Research,
TOPCon module price,22,Rs/Wp,medium,Market 2026,
DCR premium over non-DCR,4,Rs/Wp,medium,Market 2026,
Polysilicon (China mono),4.99,USD/kg,medium,PVInsights Apr 2026,
