term,definition
DCR,Domestic Content Requirement — projects must use India-made cells & modules
ALMM,Approved List of Models & Manufacturers (List-I modules / List-II cells / List-III wafers)
FDRE,Firm & Dispatchable Renewable Energy — RE plus storage delivering firm supply
RTC,Round-the-Clock renewable power
BESS,Battery Energy Storage System
CUF,Capacity Utilisation Factor — actual vs nameplate generation
PLI,Production-Linked Incentive scheme
BCD,Basic Customs Duty (40% modules / 27.5% cells)
LOA,Letter of Award
PPA,Power Purchase Agreement
SECI,Solar Energy Corporation of India
CEA,Central Electricity Authority
MNRE,Ministry of New & Renewable Energy
Wp,Watt-peak (₹/Wp = price per watt-peak)
Open Access,C&I consumers sourcing power directly from generators
TOPCon,Tunnel Oxide Passivated Contact solar-cell technology
TAM,Total Addressable Market
IPP,Independent Power Producer
